,Season,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID,botCmd FA,botCmd SI,botCmd FC,botCmd FS,botCmd SL,botCmd CU,botCmd CH,botCmd KC,botOvr,botStf,botCmd,botxRV100,botERA,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,G_steamer,GS_steamer,IP_steamer,K/9_steamer,BB/9_steamer,HR/9_steamer,BABIP_steamer,LOB%_steamer,GB%_steamer,ERA_steamer,FIP_steamer,WAR_steamer,G_zips,GS_zips,IP_zips,K/9_zips,BB/9_zips,HR/9_zips,BABIP_zips,LOB%_zips,GB%_zips,ERA_zips,FIP_zips,WAR_zips
2194,2024,Ray Kerr,SDP,27.0,91.82522935779818,,,,,76.0437837837838,59.67083333333334,,,83.13364485981307,96.81471962616824,91.97850467289726,Ray Kerr,23809,678061,54.39864009174313,,,,,38.76850799999999,20.0,,42.0646209512761,42.22776542923434,41.951944965197214,0.618635174013921,5.258315800464038,57.01237513761468,,,,,42.51382756756757,32.53889173913044,,99.80321100917432,,,,,94.01621621621622,94.29166666666669,,,38.0,0.0,38.0,10.2902,4.18086,1.068,0.298816,0.747882,0.426762,3.84681,4.02564,0.191162,49.0,1.0,53.7,10.5587,4.86034,1.17318,0.309353,0.736994,,4.35754,4.39098,0.137155
2195,2023,Brayan Bello,BOS,57.1,94.59086021505377,101.70919540229885,,,102.18538812785388,105.18,88.95000000000002,,,97.45015045135406,97.57442326980944,99.10802407221666,Brayan Bello,23920,678394,41.61968962365592,45.53777798850575,,,61.196965707762544,28.170308,47.88136978813559,,52.47746482447342,57.33043074222666,48.26717469408225,-0.0228840621865596,3.93199740220662,51.88970155913979,61.61725586206897,,,51.78430570776257,48.327824,56.87434216101695,,93.29139784946236,97.77672413793104,,,101.7442922374429,88.3,96.88813559322035,,,25.0,19.0,113.0,8.78,3.38,0.82,0.312,71.70%,52.70%,3.86,3.57,1.7,29.0,26.0,135.1,9.31,3.46,0.93,0.313,72.20%,,3.99,3.63,2.1
2196,2024,Brayan Bello,BOS,157.0,83.19,92.74100946372238,87.91621621621621,,103.45371179039302,,80.38482428115014,,,89.63556149732625,100.47009167303284,98.06474407944997,Brayan Bello,23920,678394,48.75803822222223,51.40883079915879,48.2838227027027,,42.62415659388647,,57.14603541533547,,51.3362542372235,52.16614384439359,52.837445030511056,0.0437176926010678,4.395938920671245,41.97019275925926,56.60814828601473,54.96408621621622,,50.25459888646289,,55.5270360543131,,102.47777777777776,100.81535226077814,99.5,,94.22860262008736,,102.661821086262,,,30.78,30.78,182.242,7.74077,3.04983,1.009,0.313928,0.704701,0.51935,4.28957,4.12649,2.64319,28.0,27.0,147.3,8.18737,3.29939,0.977597,0.314351,0.711207,,4.27699,4.02897,2.2614
2197,2025,Brayan Bello,BOS,47.1,,108.1823708206687,,,117.12304147465436,,86.45947955390334,,,103.28091133004926,100.95147783251234,105.01613300492612,Brayan Bello,23920,678394,,52.31100829787235,,,53.013276175115216,,54.94552178438662,,56.71308285889572,56.68971917791412,56.38809250306749,-0.3422263067484662,3.442676809815951,,53.68556124620061,,,54.3402396313364,,52.76879353159852,,,102.1808510638298,,,98.3290322580645,,101.45092936802976,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,2024,Jose A. Ferrer,WSN,34.0,91.0279012345679,,,,112.49,,63.59383561643836,,,84.155376344086,96.86720430107528,95.59498207885306,Jose A. Ferrer,24017,678606,55.14055649382716,,,,20.0,,38.93376172413792,,49.78858248214286,51.200538839285706,49.615926625000014,0.1396858928571428,4.539891464285716,54.55667525925926,,,,35.58687545454545,,52.679349172413794,,98.61382716049384,,,,59.7,,94.44246575342466,,,38.0,0.0,38.0,7.58925,3.72759,1.018,0.30203,0.724982,0.486195,4.15635,4.41598,0.126374,61.0,0.0,66.3,7.05882,2.98643,1.22172,0.29064,0.684755,,4.61538,4.62759,0.00937274
2199,2024,Alec Marsh,KCR,74.1,96.0364,97.57916666666668,,,105.64340790050292,99.72,78.3335,,,96.96595399136385,93.80359585769422,94.07126179831096,Alec Marsh,27451,679525,38.593998760000005,54.633400208333335,,,33.85098494219653,52.3219722,53.26479485,,39.320733807749626,46.624855037257824,40.84498280178838,0.7887784351713861,5.5135302757078986,49.45346282,57.823390520833335,,,50.50560794797687,42.28631135,44.129557000000005,,91.4476,98.09479166666668,,,91.16590743098016,97.411,98.8825,,,33.44,19.44,120.651,8.06294,4.0902,1.331,0.300814,0.698388,0.396635,4.96571,4.91685,0.498877,26.0,20.0,118.3,8.82502,4.1082,1.21724,0.302395,0.686406,,4.86898,4.62444,0.869545
2200,2025,Alec Marsh,KCR,55.0,92.4548589341693,99.75500000000002,,,120.2620437956204,93.1798387096774,90.97961165048544,,,99.27744186046512,100.45406976744188,99.781511627907,Alec Marsh,27451,679525,43.7868238244514,53.50109458333333,,,37.89217186440678,43.71947669014085,51.37848757281554,,51.95180903712298,41.19691469837586,45.791791577726215,-0.0640410324825986,3.859956438515082,44.85551771159875,54.362884,,,42.15263333333333,40.24923028169014,46.94608087378641,,102.1423197492163,101.62000000000002,,,91.05218978102188,103.23387096774194,95.89126213592232,,,,,,,,,,,,,,,,,,,,,,,,,,
2201,2024,Grayson Rodriguez,BAL,122.0,116.4837008628955,,76.28073394495414,,126.07620578778136,145.54999999999998,110.45435244161362,,,116.5570817490494,101.86768060836498,107.57595057034224,Grayson Rodriguez,24492,680570,57.92491089165868,,46.42534733944954,,53.2512752733119,46.28312070588235,57.87567583864118,,64.96071649239542,62.865015541825095,57.65509032319393,-0.8011133935361219,3.1286909458174903,59.126924429530206,,57.17370825688073,,67.8480710289389,59.98949917647058,67.36436946921444,,103.56701821668264,,89.5211009174312,,103.40610932475884,97.06941176470588,101.98110403397028,,,30.78,30.78,174.905,9.80276,3.11491,1.105,0.291542,0.744059,0.441956,3.6552,3.81741,2.83408,28.0,28.0,141.7,9.71771,2.79464,1.20677,0.287634,0.704324,,4.06493,3.89724,2.23901
2202,2025,Grayson Rodriguez,BAL,51.0,114.18530183727032,103.15999999999998,,,113.67352941176468,108.85535714285716,142.47885714285715,,,117.5602959309494,99.77546239210852,104.5649815043157,Grayson Rodriguez,24492,680570,48.60309380577427,54.22357466666667,,,65.80340088235295,58.676912946428565,44.6016248,,62.89776990135636,60.44340638717632,54.16505463625154,-0.7035791245376078,2.900650184956844,59.57396847769029,56.030178,,,51.27881808823529,55.73287892857143,64.55759165714286,,97.42782152230971,100.84666666666668,,,109.32205882352942,99.81071428571428,94.34514285714286,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,2025,Simeon Woods Richardson,MIN,40.0,73.60286738351255,,,,94.7919191919192,78.41836734693878,95.92624113475178,,,85.61671122994652,106.62299465240643,102.1407754010695,Simeon Woods Richardson,24494,680573,52.75553738351255,,,,60.32004363636363,55.74484367346938,72.91042517730497,,50.13284345808383,41.32407196107784,63.70130149700598,0.0422376497005988,4.019375299401197,37.33841068100358,,,,35.397853787878795,43.70679020408164,65.8890629787234,,103.2720430107527,,,,109.09949494949494,97.56326530612246,111.48652482269505,,,,,,,,,,,,,,,,,,,,,,,,,,
